global_idx,sub_idx,frame_idx,name,top_sc_px,bot_sc_px,end_ed_px,sc_thickness_mm,ed_thickness_mm,total_thickness_mm,surface_disp_mm
19,0,19,0_19,72.421875,78.45703125,115.1708984375,0.03017578125,0.1835693359375,0.2137451171875,0
20,0,20,0_20,72.421875,79.462890625,115.1708984375,0.035205078125,0.1785400390625,0.2137451171875,0
21,0,21,0_21,76.4453125,82.48046875,114.66796875,0.03017578125,0.1609375,0.19111328125,0.0201171875
22,0,22,0_22,78.45703125,85.498046875,117.685546875,0.035205078125,0.1609375,0.196142578125,0.03017578125
23,0,23,0_23,79.9658203125,86.50390625,116.1767578125,0.0326904296875,0.1483642578125,0.1810546875,0.0377197265625
24,0,24,0_24,81.474609375,88.515625,119.697265625,0.035205078125,0.155908203125,0.19111328125,0.045263671875
25,0,25,0_25,81.9775390625,89.521484375,121.708984375,0.0377197265625,0.1609375,0.1986572265625,0.0477783203125
26,0,26,0_26,83.486328125,90.52734375,119.697265625,0.035205078125,0.145849609375,0.1810546875,0.055322265625
27,0,27,0_27,83.486328125,90.52734375,119.697265625,0.035205078125,0.145849609375,0.1810546875,0.055322265625
28,0,28,0_28,84.4921875,91.533203125,122.2119140625,0.035205078125,0.1533935546875,0.1885986328125,0.0603515625
29,0,29,0_29,84.4921875,91.0302734375,121.2060546875,0.0326904296875,0.15087890625,0.1835693359375,0.0603515625
30,0,30,0_30,85.498046875,92.0361328125,120.703125,0.0326904296875,0.1433349609375,0.176025390625,0.065380859375
31,0,31,0_31,85.498046875,92.5390625,123.2177734375,0.035205078125,0.1533935546875,0.1885986328125,0.065380859375
32,0,32,0_32,87.0068359375,93.544921875,121.708984375,0.0326904296875,0.1408203125,0.1735107421875,0.0729248046875
33,0,33,0_33,87.0068359375,93.544921875,121.708984375,0.0326904296875,0.1408203125,0.1735107421875,0.0729248046875
34,0,34,0_34,87.509765625,94.0478515625,121.708984375,0.0326904296875,0.1383056640625,0.17099609375,0.075439453125
